Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltes Rebudes,Val,Local,Visitant,Victoria,Diferencia
A.E. MINGUELLA A - DRIVIM Equipo,Jornada 01,1.0,200.0,64.0,17.0,42.0,0.4,6.0,16.0,0.38,12.0,21.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,U.E. CLARET A,A.E. MINGUELLA A - DRIVIM,True,2.0
A.E. MINGUELLA A - DRIVIM Equipo,Jornada 02,1.0,200.0,73.0,17.0,35.0,0.49,9.0,30.0,0.3,12.0,17.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,A.E. MINGUELLA A - DRIVIM,UE MATARO  - TC,True,32.0
A.E. MINGUELLA A - DRIVIM Equipo,Jornada 03,1.0,200.0,57.0,20.0,47.0,0.43,2.0,24.0,0.08,11.0,24.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,GRUP VIA - CB ARTES,A.E. MINGUELLA A - DRIVIM,False,-11.0
A.E. MINGUELLA A - DRIVIM Equipo,Jornada 04,1.0,200.0,62.0,20.0,41.0,0.49,4.0,23.0,0.17,10.0,22.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,A.E. MINGUELLA A - DRIVIM,BASQUET GIRONA,True,4.0
A.E. MINGUELLA A - DRIVIM Equipo,Jornada 05,1.0,200.0,63.0,21.0,42.0,0.5,3.0,23.0,0.13,12.0,25.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,MARISTES ADEMAR,A.E. MINGUELLA A - DRIVIM,False,-8.0
A.E. MINGUELLA A - DRIVIM Equipo,Jornada 06,1.0,200.0,65.0,15.0,49.0,0.31,5.0,20.0,0.25,20.0,29.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,A.E. MINGUELLA A - DRIVIM,TERRA ENDINS CB VILATORRADA,False,-5.0
A.E. MINGUELLA A - DRIVIM Equipo,Jornada 07,1.0,200.0,72.0,22.0,44.0,0.5,6.0,23.0,0.26,10.0,18.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,C.B. VIC - UNIVERSITAT DE VIC 2,A.E. MINGUELLA A - DRIVIM,True,6.0
A.E. MINGUELLA A - DRIVIM Equipo,Jornada 08,1.0,200.0,72.0,22.0,38.0,0.58,5.0,18.0,0.28,13.0,26.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,A.E. MINGUELLA A - DRIVIM,CB.CIUTAT VELLA,True,5.0
A.E. MINGUELLA A - DRIVIM Equipo,Jornada 09,1.0,200.0,73.0,25.0,44.0,0.57,4.0,22.0,0.18,11.0,18.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,IBERSOFAS - CB ARGENTONA  A,A.E. MINGUELLA A - DRIVIM,True,10.0
A.E. MINGUELLA A - DRIVIM Equipo,Jornada 10,1.0,200.0,80.0,13.0,38.0,0.34,11.0,23.0,0.48,21.0,25.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,A.E. MINGUELLA A - DRIVIM,CB SANTA COLOMA A,True,32.0
A.E. MINGUELLA A - DRIVIM Equipo,Jornada 11,1.0,200.0,68.0,15.0,36.0,0.42,8.0,27.0,0.3,14.0,21.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,A.E. MINGUELLA A - DRIVIM,CB ADEPAF TXOT'S,True,8.0
A.E. MINGUELLA A - DRIVIM Equipo,Jornada 12,1.0,200.0,68.0,20.0,45.0,0.44,5.0,24.0,0.21,13.0,21.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,BASQUET SAFA CLAROR A,A.E. MINGUELLA A - DRIVIM,True,15.0
A.E. MINGUELLA A - DRIVIM Equipo,Jornada 13,1.0,200.0,55.0,20.0,45.0,0.44,2.0,28.0,0.07,9.0,13.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,A.E. MINGUELLA A - DRIVIM,UB SANT ADRIA A,False,-15.0
A.E. MINGUELLA A - DRIVIM Equipo Rival,Jornada 01,1.0,200.0,62.0,16.0,34.0,0.47,5.0,20.0,0.25,15.0,30.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,A.E. MINGUELLA A - DRIVIM,U.E. CLARET A,False,-2.0
A.E. MINGUELLA A - DRIVIM Equipo Rival,Jornada 02,1.0,200.0,41.0,11.0,42.0,0.26,3.0,28.0,0.11,10.0,23.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,UE MATARO  - TC,A.E. MINGUELLA A - DRIVIM,False,-32.0
A.E. MINGUELLA A - DRIVIM Equipo Rival,Jornada 03,1.0,200.0,68.0,19.0,36.0,0.53,6.0,22.0,0.27,12.0,20.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,A.E. MINGUELLA A - DRIVIM,GRUP VIA - CB ARTES,True,11.0
A.E. MINGUELLA A - DRIVIM Equipo Rival,Jornada 04,1.0,200.0,58.0,13.0,25.0,0.52,5.0,26.0,0.19,17.0,25.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,BASQUET GIRONA,A.E. MINGUELLA A - DRIVIM,False,-4.0
A.E. MINGUELLA A - DRIVIM Equipo Rival,Jornada 05,1.0,200.0,71.0,18.0,34.0,0.53,8.0,24.0,0.33,11.0,20.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,A.E. MINGUELLA A - DRIVIM,MARISTES ADEMAR,True,8.0
A.E. MINGUELLA A - DRIVIM Equipo Rival,Jornada 06,1.0,200.0,70.0,21.0,38.0,0.55,4.0,18.0,0.22,16.0,25.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,TERRA ENDINS CB VILATORRADA,A.E. MINGUELLA A - DRIVIM,True,5.0
A.E. MINGUELLA A - DRIVIM Equipo Rival,Jornada 07,1.0,200.0,66.0,29.0,62.0,0.47,1.0,19.0,0.05,5.0,14.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,A.E. MINGUELLA A - DRIVIM,C.B. VIC - UNIVERSITAT DE VIC 2,False,-6.0
A.E. MINGUELLA A - DRIVIM Equipo Rival,Jornada 08,1.0,200.0,67.0,9.0,29.0,0.31,11.0,24.0,0.46,16.0,27.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,CB.CIUTAT VELLA,A.E. MINGUELLA A - DRIVIM,False,-5.0
A.E. MINGUELLA A - DRIVIM Equipo Rival,Jornada 09,1.0,200.0,63.0,15.0,27.0,0.56,4.0,17.0,0.24,21.0,36.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,A.E. MINGUELLA A - DRIVIM,IBERSOFAS - CB ARGENTONA  A,False,-10.0
A.E. MINGUELLA A - DRIVIM Equipo Rival,Jornada 10,1.0,200.0,48.0,17.0,43.0,0.4,2.0,24.0,0.08,8.0,11.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,CB SANTA COLOMA A,A.E. MINGUELLA A - DRIVIM,False,-32.0
A.E. MINGUELLA A - DRIVIM Equipo Rival,Jornada 11,1.0,200.0,60.0,18.0,38.0,0.47,1.0,14.0,0.07,21.0,31.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,CB ADEPAF TXOT'S,A.E. MINGUELLA A - DRIVIM,False,-8.0
A.E. MINGUELLA A - DRIVIM Equipo Rival,Jornada 12,1.0,200.0,53.0,8.0,32.0,0.25,8.0,28.0,0.29,13.0,23.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,A.E. MINGUELLA A - DRIVIM,BASQUET SAFA CLAROR A,False,-15.0
A.E. MINGUELLA A - DRIVIM Equipo Rival,Jornada 13,1.0,200.0,70.0,19.0,40.0,0.47,7.0,30.0,0.23,11.0,19.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,UB SANT ADRIA A,A.E. MINGUELLA A - DRIVIM,True,15.0
BASQUET GIRONA Equipo,Jornada 01,1.0,200.0,67.0,17.0,39.0,0.44,5.0,27.0,0.19,18.0,30.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,BASQUET GIRONA,C.B. VIC - UNIVERSITAT DE VIC 2,False,-15.0
BASQUET GIRONA Equipo,Jornada 02,1.0,200.0,67.0,16.0,31.0,0.52,7.0,26.0,0.27,14.0,27.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,CB.CIUTAT VELLA,BASQUET GIRONA,False,-20.0
BASQUET GIRONA Equipo,Jornada 03,1.0,200.0,84.0,24.0,44.0,0.55,5.0,26.0,0.19,21.0,27.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,BASQUET GIRONA,IBERSOFAS - CB ARGENTONA  A,False,-8.0
BASQUET GIRONA Equipo,Jornada 04,1.0,200.0,58.0,13.0,25.0,0.52,5.0,26.0,0.19,17.0,25.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,A.E. MINGUELLA A - DRIVIM,BASQUET GIRONA,False,-4.0
BASQUET GIRONA Equipo,Jornada 05,1.0,200.0,57.0,17.0,46.0,0.37,7.0,29.0,0.24,2.0,3.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,BASQUET GIRONA,CB ADEPAF TXOT'S,False,-4.0
BASQUET GIRONA Equipo,Jornada 06,1.0,225.0,88.0,27.0,42.0,0.64,8.0,32.0,0.25,10.0,22.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,BASQUET SAFA CLAROR A,BASQUET GIRONA,True,7.0
BASQUET GIRONA Equipo,Jornada 07,1.0,200.0,68.0,18.0,35.0,0.51,3.0,22.0,0.14,23.0,37.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,BASQUET GIRONA,UB SANT ADRIA A,True,7.0
BASQUET GIRONA Equipo,Jornada 08,1.0,200.0,49.0,13.0,35.0,0.37,4.0,19.0,0.21,11.0,21.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,U.E. CLARET A,BASQUET GIRONA,False,-16.0
BASQUET GIRONA Equipo,Jornada 09,1.0,200.0,74.0,23.0,40.0,0.57,5.0,13.0,0.38,13.0,23.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,BASQUET GIRONA,UE MATARO  - TC,True,3.0
BASQUET GIRONA Equipo,Jornada 10,1.0,200.0,66.0,19.0,41.0,0.46,4.0,18.0,0.22,16.0,30.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,GRUP VIA - CB ARTES,BASQUET GIRONA,False,-4.0
BASQUET GIRONA Equipo,Jornada 11,1.0,200.0,69.0,18.0,49.0,0.37,5.0,22.0,0.23,18.0,36.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,CB SANTA COLOMA A,BASQUET GIRONA,False,-10.0
BASQUET GIRONA Equipo,Jornada 12,1.0,200.0,89.0,17.0,32.0,0.53,10.0,25.0,0.4,25.0,36.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,BASQUET GIRONA,MARISTES ADEMAR,True,11.0
