Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltas Rebudes,Val,% Asist,% Tir Efectiu,% Tir Verdader,GScore,TLR,Possesions Anotades,Possesions No Anotades,Floor Percentage,Punts per Tir,% Rebots,% Rebots Def,% Rebots Of,% Recuperacions,Tocs,Us,Versatilitat,Win Scores,Eficiencia Ofensiva,Eficiencia Defensiva,Diferencia eficiencia,Pèrdues Mal Pase,Pèrdues Pilota Controlada,Altres Pèrdues,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Num
b'JAN OSUL VIDAL',3 Local,11.0,20.55,7.0,2.36,4.27,0.55,0.73,2.82,0.26,0.09,0.27,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82,0.0,0.0,0.0,0.49,0.49,2.47,0.12,3.15,4.05,43.77,0.97,0.0,0.0,0.0,0.0,7.42,19.66,0.0,-1.14,98.72,82.8,15.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,3.09,7.09,0.44,1.0
b'JAN OSUL VIDAL',3 Visitant,11.0,20.09,6.09,1.36,3.0,0.45,0.91,2.55,0.36,0.64,1.55,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.49,0.49,1.95,1.04,2.68,3.49,43.43,0.98,0.0,0.0,0.0,0.0,7.07,17.91,0.0,-1.23,100.0,96.03,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,2.27,5.55,0.41,1.0
b'JAN OSUL VIDAL',4 Banqueta,22.0,20.32,6.55,1.86,3.64,0.51,0.82,2.68,0.31,0.36,0.91,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.91,0.0,0.0,0.0,0.49,0.49,2.21,0.26,2.91,3.77,43.62,0.98,0.0,0.0,0.0,0.0,7.3,18.81,0.0,-1.18,98.63,89.52,9.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,2.68,6.32,0.42,1.0
b'JAN OSUL VIDAL',5 Dificil,11.0,21.0,6.27,1.55,2.82,0.55,0.82,2.64,0.31,0.73,1.45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82,0.0,0.0,0.0,0.51,0.51,2.38,1.21,2.8,3.24,46.39,1.02,0.0,0.0,0.0,0.0,7.02,16.47,0.0,-0.82,106.15,98.13,8.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,2.36,5.45,0.43,1.0
b'JAN OSUL VIDAL',5 Facil,11.0,19.64,6.82,2.18,4.45,0.49,0.82,2.73,0.3,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.47,0.46,2.05,0.0,3.0,4.33,40.94,0.95,0.0,0.0,0.0,0.0,7.58,21.33,0.0,-1.55,93.75,80.87,12.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,3.0,7.18,0.42,1.0
b'JONATHAN LOZANO BZDZIL',1 Mitjana,21.0,11.1,2.33,0.86,2.19,0.39,0.05,0.19,0.25,0.48,0.76,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.39,0.43,0.25,0.95,1.17,1.52,43.44,0.78,0.0,0.0,0.0,0.0,3.19,13.92,0.0,-1.26,89.09,89.23,-0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.9,2.38,0.38,9.0
b'JONATHAN LOZANO BZDZIL',2 Derrota,8.0,8.75,2.25,1.0,1.75,0.57,0.0,0.25,0.0,0.25,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,0.0,0.0,0.0,0.5,0.53,0.7,1.56,1.1,1.0,52.38,1.0,0.0,0.0,0.0,0.0,2.25,13.74,0.0,-0.56,112.5,101.08,11.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,1.0,2.0,0.5,9.0
b'JONATHAN LOZANO BZDZIL',2 Victoria,13.0,12.54,2.38,0.77,2.46,0.31,0.08,0.15,0.5,0.62,1.08,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,0.0,0.0,0.0,0.34,0.39,-0.03,1.81,1.2,1.85,39.32,0.68,0.0,0.0,0.0,0.0,3.81,13.99,0.0,-1.69,79.49,81.7,-2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.85,2.62,0.32,9.0
b'JONATHAN LOZANO BZDZIL',3 Local,10.0,12.0,2.4,0.8,2.6,0.31,0.1,0.2,0.5,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.34,0.37,-0.24,1.79,1.2,2.0,37.5,0.68,0.0,0.0,0.0,0.0,3.99,15.08,0.0,-1.95,75.0,81.61,-6.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.9,2.8,0.32,9.0
b'JONATHAN LOZANO BZDZIL',3 Visitant,11.0,10.27,2.27,0.91,1.82,0.5,0.0,0.18,0.0,0.45,0.55,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,0.0,0.0,0.0,0.45,0.51,0.69,2.07,1.12,1.1,50.55,0.91,0.0,0.0,0.0,0.0,2.54,12.6,0.0,-0.64,104.17,95.89,8.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.91,2.0,0.45,9.0
b'JONATHAN LOZANO BZDZIL',4 Banqueta,21.0,11.1,2.33,0.86,2.19,0.39,0.05,0.19,0.25,0.48,0.76,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.39,0.43,0.25,0.95,1.17,1.52,43.44,0.78,0.0,0.0,0.0,0.0,3.19,13.92,0.0,-1.26,89.09,89.23,-0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.9,2.38,0.38,9.0
b'JONATHAN LOZANO BZDZIL',5 Dificil,10.0,10.2,2.3,0.9,2.2,0.41,0.1,0.4,0.25,0.2,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.4,0.43,0.2,0.77,1.08,1.6,40.3,0.81,0.0,0.0,0.0,0.0,2.81,14.92,0.0,-1.25,88.46,98.49,-10.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,1.0,2.6,0.38,9.0
b'JONATHAN LOZANO BZDZIL',5 Facil,11.0,11.91,2.36,0.82,2.18,0.38,0.0,0.0,0.0,0.73,1.27,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.64,0.0,0.0,0.0,0.38,0.43,0.29,3.03,1.23,1.46,45.85,0.75,0.0,0.0,0.0,0.0,3.56,13.13,0.0,-1.27,89.66,80.66,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,2.18,0.38,9.0
b'JORDI CLOTET MATAMALA',1 Mitjana,21.0,17.86,4.0,1.05,2.57,0.41,0.33,1.29,0.26,0.9,1.48,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.4,0.44,0.82,1.12,1.88,2.56,42.34,0.8,0.0,0.0,0.0,0.0,5.42,14.41,0.0,-1.6,91.3,89.61,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.38,3.86,0.36,5.0
b'JORDI CLOTET MATAMALA',2 Derrota,9.0,18.56,3.78,1.0,2.56,0.39,0.33,1.22,0.27,0.78,0.78,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11,0.0,0.0,0.0,0.4,0.46,0.82,2.29,1.64,2.44,40.22,0.79,0.0,0.0,0.0,0.0,4.59,12.67,0.0,-1.44,94.44,99.86,-5.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,1.33,3.78,0.35,5.0
b'JORDI CLOTET MATAMALA',2 Victoria,12.0,17.33,4.17,1.08,2.58,0.42,0.33,1.33,0.25,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92,0.0,0.0,0.0,0.4,0.43,0.83,2.13,2.02,2.7,42.76,0.81,0.0,0.0,0.0,0.0,6.05,15.8,0.0,-1.71,89.29,81.75,7.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,1.42,3.92,0.36,5.0
b'JORDI CLOTET MATAMALA',3 Local,10.0,18.0,3.8,0.9,2.9,0.31,0.3,1.1,0.27,1.1,1.5,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.34,0.41,0.44,2.75,1.76,2.84,38.2,0.68,0.0,0.0,0.0,0.0,5.75,14.58,0.0,-2.05,84.44,82.27,2.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,1.2,4.0,0.3,5.0
b'JORDI CLOTET MATAMALA',3 Visitant,11.0,17.73,4.18,1.18,2.27,0.52,0.36,1.45,0.25,0.73,1.45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82,0.0,0.0,0.0,0.46,0.48,1.17,1.77,1.98,2.33,45.99,0.93,0.0,0.0,0.0,0.0,5.16,14.24,0.0,-1.18,100.0,96.01,3.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,1.55,3.73,0.41,5.0
b'JORDI CLOTET MATAMALA',4 Banqueta,21.0,17.86,4.0,1.05,2.57,0.41,0.33,1.29,0.26,0.9,1.48,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.4,0.44,0.82,1.12,1.88,2.56,42.34,0.8,0.0,0.0,0.0,0.0,5.42,14.41,0.0,-1.6,91.3,89.61,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.38,3.86,0.36,5.0
b'JORDI CLOTET MATAMALA',5 Dificil,11.0,19.09,3.73,0.91,2.73,0.33,0.36,1.45,0.25,0.82,1.36,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.0,0.0,0.0,0.35,0.39,0.25,1.78,1.73,3.0,36.62,0.7,0.0,0.0,0.0,0.0,5.65,14.21,0.0,-2.18,80.39,97.92,-17.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,1.27,4.18,0.3,5.0
b'JORDI CLOTET MATAMALA',5 Facil,10.0,16.5,4.3,1.2,2.4,0.5,0.3,1.1,0.27,1.0,1.6,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.47,0.51,1.45,2.86,2.05,2.09,49.52,0.94,0.0,0.0,0.0,0.0,5.16,14.64,0.0,-0.95,107.5,80.43,27.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,1.5,3.5,0.43,5.0
b'JORDI FORNELLS UR',1 Mitjana,17.0,17.35,4.29,0.47,1.18,0.4,0.94,3.94,0.24,0.53,0.82,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24,0.0,0.0,0.0,0.37,0.39,0.26,0.61,1.7,3.75,31.19,0.74,0.0,0.0,0.0,0.0,6.01,18.24,0.0,-2.35,80.22,87.73,-7.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,1.41,5.12,0.28,22.0
b'JORDI FORNELLS UR',2 Derrota,7.0,17.29,4.29,0.43,1.43,0.3,0.86,3.86,0.22,0.86,0.86,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.14,0.0,0.0,0.0,0.32,0.38,-0.16,2.32,1.63,4.0,28.93,0.65,0.0,0.0,0.0,0.0,6.17,19.19,0.0,-3.0,76.92,97.63,-20.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,1.29,5.29,0.24,22.0
b'JORDI FORNELLS UR',2 Victoria,10.0,17.4,4.3,0.5,1.0,0.5,1.0,4.0,0.25,0.3,0.8,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.4,0.4,0.56,0.6,1.69,3.62,31.86,0.8,0.0,0.0,0.0,0.0,5.91,17.6,0.0,-1.9,82.69,80.55,2.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.5,5.0,0.3,22.0
b'JORDI FORNELLS UR',3 Local,9.0,15.56,3.89,0.44,0.56,0.8,0.89,4.0,0.22,0.33,0.67,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.39,0.4,0.3,0.81,1.53,3.29,31.8,0.78,0.0,0.0,0.0,0.0,5.36,17.46,0.0,-2.0,83.33,83.04,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,1.33,4.56,0.29,22.0
b'JORDI FORNELLS UR',3 Visitant,8.0,19.38,4.75,0.5,1.88,0.27,1.0,3.88,0.26,0.75,1.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.35,0.38,0.23,1.63,1.88,4.28,30.49,0.7,0.0,0.0,0.0,0.0,6.73,19.13,0.0,-2.75,77.55,92.78,-15.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.5,5.75,0.26,22.0
b'JORDI FORNELLS UR',4 Banqueta,17.0,17.35,4.29,0.47,1.18,0.4,0.94,3.94,0.24,0.53,0.82,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24,0.0,0.0,0.0,0.37,0.39,0.26,0.61,1.7,3.75,31.19,0.74,0.0,0.0,0.0,0.0,6.01,18.24,0.0,-2.35,80.22,87.73,-7.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,1.41,5.12,0.28,22.0
b'JORDI FORNELLS UR',5 Dificil,7.0,17.43,4.29,0.14,1.0,0.14,1.14,4.0,0.29,0.57,0.71,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.71,0.0,0.0,0.0,0.37,0.4,0.16,1.63,1.56,3.73,29.51,0.74,0.0,0.0,0.0,0.0,5.79,18.01,0.0,-2.43,83.33,95.16,-11.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.29,5.0,0.26,22.0
b'JORDI FORNELLS UR',5 Facil,10.0,17.3,4.3,0.7,1.3,0.54,0.8,3.9,0.21,0.5,0.9,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.37,0.38,0.34,0.96,1.79,3.77,32.17,0.73,0.0,0.0,0.0,0.0,6.16,18.4,0.0,-2.3,79.63,82.39,-2.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.5,5.2,0.29,22.0
b'JORDI SOBREVIAS BONELLS',1 Mitjana,21.0,16.19,5.19,0.52,1.24,0.42,1.1,3.67,0.3,0.86,1.33,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.19,0.0,0.0,0.0,0.44,0.47,1.34,0.83,2.08,3.35,38.33,0.88,0.0,0.0,0.0,0.0,6.33,19.33,0.0,-1.48,96.46,88.6,7.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.62,4.9,0.33,32.0
b'JORDI SOBREVIAS BONELLS',2 Derrota,9.0,14.67,5.0,0.44,0.78,0.57,1.0,2.78,0.36,1.11,2.11,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78,0.0,0.0,0.0,0.55,0.56,1.98,3.47,2.1,2.3,47.71,1.09,0.0,0.0,0.0,0.0,5.76,17.45,0.0,-0.5,118.42,99.8,18.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,1.44,3.56,0.41,32.0
b'JORDI SOBREVIAS BONELLS',2 Victoria,12.0,17.33,5.33,0.58,1.58,0.37,1.17,4.33,0.27,0.67,0.75,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.39,0.43,0.86,0.94,2.05,4.17,32.92,0.79,0.0,0.0,0.0,0.0,6.74,20.52,0.0,-2.21,86.49,79.97,6.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,1.75,5.92,0.3,32.0
b'JORDI SOBREVIAS BONELLS',3 Local,11.0,17.09,5.0,0.55,1.64,0.33,1.18,4.36,0.27,0.36,0.45,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,0.0,0.0,0.0,0.39,0.4,0.55,0.55,1.9,4.28,30.76,0.77,0.0,0.0,0.0,0.0,6.55,20.33,0.0,-2.36,82.09,82.36,-0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,1.73,6.0,0.29,32.0
b'JORDI SOBREVIAS BONELLS',3 Visitant,10.0,15.2,5.4,0.5,0.8,0.62,1.0,2.9,0.34,1.4,2.3,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.54,0.57,2.21,3.78,2.28,2.34,49.33,1.08,0.0,0.0,0.0,0.0,5.92,18.01,0.0,-0.5,120.0,95.28,24.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,1.5,3.7,0.41,32.0
b'JORDI SOBREVIAS BONELLS',4 Banqueta,21.0,16.19,5.19,0.52,1.24,0.42,1.1,3.67,0.3,0.86,1.33,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.19,0.0,0.0,0.0,0.44,0.47,1.34,0.83,2.08,3.35,38.33,0.88,0.0,0.0,0.0,0.0,6.33,19.33,0.0,-1.48,96.46,88.6,7.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.62,4.9,0.33,32.0
b'JORDI SOBREVIAS BONELLS',5 Dificil,10.0,13.5,4.6,0.4,1.0,0.4,1.0,3.0,0.33,0.8,1.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.47,0.49,1.2,2.0,1.88,2.76,40.52,0.95,0.0,0.0,0.0,0.0,5.7,19.84,0.0,-1.25,102.22,97.14,5.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.4,4.0,0.35,32.0
b'JORDI SOBREVIAS BONELLS',5 Facil,11.0,18.64,5.73,0.64,1.45,0.44,1.18,4.27,0.28,0.91,1.09,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,0.0,0.0,0.0,0.42,0.46,1.46,1.44,2.24,3.92,36.38,0.84,0.0,0.0,0.0,0.0,6.91,19.0,0.0,-1.68,94.03,80.75,13.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.82,5.73,0.32,32.0
b'MANEL SAMA SOLDEVILA',1 Mitjana,3.0,5.0,0.67,0.33,0.33,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.25,0.25,-0.27,0.0,0.33,1.0,25.0,0.5,0.0,0.0,0.0,0.0,1.33,14.52,0.0,-0.83,50.0,85.55,-35.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.33,1.33,0.25,38.0
b'MANEL SAMA SOLDEVILA',2 Derrota,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.51,103.76,-19.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0
b'MANEL SAMA SOLDEVILA',2 Victoria,2.0,5.5,1.0,0.5,0.5,1.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.25,-0.4,0.0,0.5,1.5,25.0,0.5,0.0,0.0,0.0,0.0,2.0,20.88,0.0,-1.25,50.0,76.48,-26.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.5,2.0,0.25,38.0
b'MANEL SAMA SOLDEVILA',3 Local,1.0,8.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.3,0.0,1.0,2.0,33.33,0.67,0.0,0.0,0.0,0.0,3.0,19.24,0.0,-1.0,66.67,84.1,-17.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.0,3.0,0.33,38.0
b'MANEL SAMA SOLDEVILA',3 Visitant,2.0,3.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,-0.55,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,8.02,0.0,-0.75,95.71,86.36,9.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,38.0
b'MANEL SAMA SOLDEVILA',4 Banqueta,3.0,5.0,0.67,0.33,0.33,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.25,0.25,-0.27,0.0,0.33,1.0,25.0,0.5,0.0,0.0,0.0,0.0,1.33,14.52,0.0,-0.83,50.0,85.55,-35.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.33,1.33,0.25,38.0
b'MANEL SAMA SOLDEVILA',5 Dificil,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.51,103.76,-19.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0
b'MANEL SAMA SOLDEVILA',5 Facil,2.0,5.5,1.0,0.5,0.5,1.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.25,-0.4,0.0,0.5,1.5,25.0,0.5,0.0,0.0,0.0,0.0,2.0,20.88,0.0,-1.25,50.0,76.48,-26.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.5,2.0,0.25,38.0
b'POL CAMPRUBI TRUJILLO',1 Mitjana,20.0,18.45,7.4,1.4,2.35,0.6,1.3,3.35,0.39,0.7,1.15,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55,0.0,0.0,0.0,0.59,0.6,3.29,0.61,3.09,3.07,50.16,1.18,0.0,0.0,0.0,0.0,6.92,19.39,0.0,-0.15,121.31,88.86,32.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,2.7,5.7,0.47,4.0
b'POL CAMPRUBI TRUJILLO',2 Derrota,8.0,18.25,7.12,1.75,2.62,0.67,1.0,3.0,0.33,0.62,1.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.12,0.0,0.0,0.0,0.58,0.59,3.29,1.39,3.09,2.93,51.35,1.16,0.0,0.0,0.0,0.0,6.69,19.35,0.0,-0.06,121.28,99.5,21.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,2.75,5.62,0.49,4.0
b'POL CAMPRUBI TRUJILLO',2 Victoria,12.0,18.58,7.58,1.17,2.17,0.54,1.5,3.58,0.42,0.75,1.25,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.83,0.0,0.0,0.0,0.59,0.6,3.29,1.09,3.09,3.16,49.39,1.19,0.0,0.0,0.0,0.0,7.08,19.42,0.0,-0.21,122.97,81.63,41.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,2.67,5.75,0.46,4.0
b'POL CAMPRUBI TRUJILLO',3 Local,10.0,19.6,8.1,1.9,3.0,0.63,1.3,3.6,0.36,0.4,0.9,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.58,0.58,3.48,0.61,3.45,3.51,49.55,1.17,0.0,0.0,0.0,0.0,7.64,20.18,0.0,-0.3,117.39,82.32,35.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,3.2,6.6,0.48,4.0
b'POL CAMPRUBI TRUJILLO',3 Visitant,10.0,17.3,6.7,0.9,1.7,0.53,1.3,3.1,0.42,1.0,1.4,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.59,0.62,3.1,2.08,2.71,2.65,50.64,1.19,0.0,0.0,0.0,0.0,6.19,18.41,0.0,0.0,126.42,95.14,31.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,2.2,4.8,0.46,4.0
