Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,Poss,Ritme,OER,% TC Efec,% Jugada,Frec. TL,UsT3
BASQUET MOLINS Equipo,['Mitjana'],9.0,200.0,57.67,14.33,38.33,0.37,6.11,22.78,0.27,10.67,18.78,0.57,19.78,66.56,0.48,86.64,38.45,38.7,17.45,0.37
BASQUET MOLINS Equipo Rival,['Mitjana Rival'],9.0,200.0,66.0,15.78,37.0,0.43,7.33,27.89,0.26,12.44,20.56,0.61,20.78,70.89,0.52,93.1,41.27,41.11,19.18,0.43
C.B.CASTELLAR A Equipo,['Mitjana'],10.0,200.0,65.0,14.3,30.8,0.46,9.7,33.6,0.29,7.3,11.4,0.64,21.2,66.6,0.49,97.6,44.8,40.56,11.34,0.52
C.B.CASTELLAR A Equipo Rival,['Mitjana Rival'],10.0,200.0,73.8,18.8,38.0,0.49,7.6,25.6,0.3,13.4,22.3,0.6,17.8,70.4,0.51,104.83,47.48,46.74,21.07,0.4
CB IPSI A Equipo,['Mitjana'],10.0,200.0,70.6,17.4,41.6,0.42,6.3,27.0,0.23,16.9,28.7,0.59,24.7,77.9,0.53,90.63,39.14,41.51,24.64,0.39
CB IPSI A Equipo Rival,['Mitjana Rival'],10.0,200.0,69.4,15.8,36.5,0.43,7.3,25.5,0.29,15.9,25.6,0.62,25.2,70.3,0.47,98.72,43.15,44.12,25.65,0.41
CLUB NATACIO SABADELL A Equipo,['Mitjana'],10.0,200.0,70.9,16.4,39.2,0.42,8.1,25.9,0.31,13.8,20.2,0.68,25.5,71.0,0.52,99.86,43.86,43.41,21.2,0.4
CLUB NATACIO SABADELL A Equipo Rival,['Mitjana Rival'],10.0,200.0,65.1,15.0,33.7,0.45,5.2,22.8,0.23,19.5,29.1,0.67,21.6,66.5,0.48,97.89,40.35,44.87,34.51,0.4
CLUB NATACIO TERRASSA A Equipo,['Mitjana'],10.0,202.5,58.9,16.6,38.5,0.43,5.1,20.4,0.25,10.4,17.6,0.59,22.5,63.9,0.49,92.18,41.17,41.8,17.66,0.35
CLUB NATACIO TERRASSA A Equipo Rival,['Mitjana Rival'],10.0,202.5,61.9,16.0,37.4,0.43,5.3,22.3,0.24,14.0,23.0,0.61,18.6,67.0,0.51,92.39,40.12,42.22,23.45,0.37
