Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensiuss,Reb. Defensiuss,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltes Rebudes,Val,Possesions,Ritme,OER,% TC Efec,% Jugada,Frec. TL,% Reb Def,% Reb Of,% Assis,% Perd,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tiro,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,% Perd pase,%Perd pil control,%Perd altres,ORB_wt,AssistFT,Assist2P,Assist3P,% AssistFT,%Assist2P,%Assist3P,Punts amb assist,OER amb Asistència,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Local,Visitant,Victoria,Diferencia
Equip,Jornada 01,1.0,200.0,68.0,20.0,39.0,0.51,5.0,22.0,0.23,13.0,32.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,72.0,0.5,94.44,45.08,45.11,21.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,25.0,61.0,0.41,UE MATARO  - TC,IBERSOFAS - CB ARGENTONA  A,Perdido,-6.0
Equip Rival,Jornada 01,1.0,200.0,74.0,23.0,38.0,0.61,6.0,29.0,0.21,10.0,19.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,72.0,0.5,102.78,47.76,46.78,14.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,29.0,67.0,0.43,,,,
Equip,Jornada 02,1.0,200.0,41.0,11.0,42.0,0.26,3.0,28.0,0.11,10.0,23.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,76.0,0.52,53.95,22.14,25.58,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,14.0,70.0,0.2,A.E. MINGUELLA A - DRIVIM,UE MATARO  - TC,Perdido,-32.0
Equip Rival,Jornada 02,1.0,200.0,73.0,17.0,35.0,0.49,9.0,30.0,0.3,12.0,17.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,69.0,0.48,105.8,46.92,44.86,18.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,26.0,65.0,0.4,,,,
Equip,Jornada 03,1.0,200.0,69.0,16.0,29.0,0.55,8.0,29.0,0.28,13.0,22.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,64.0,0.48,107.81,48.28,46.9,22.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,24.0,58.0,0.41,UE MATARO  - TC,CB ADEPAF TXOT'S,Perdido,-1.0
Equip Rival,Jornada 03,1.0,200.0,70.0,19.0,43.0,0.44,8.0,22.0,0.36,8.0,19.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,70.0,0.52,100.0,47.69,44.15,12.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,27.0,65.0,0.42,,,,
Equip,Jornada 04,1.0,200.0,72.0,20.0,38.0,0.53,5.0,25.0,0.2,17.0,26.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,71.0,0.52,101.41,43.65,46.53,26.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,25.0,63.0,0.4,BASQUET SAFA CLAROR A,UE MATARO  - TC,Ganado,1.0
Equip Rival,Jornada 04,1.0,200.0,71.0,17.0,35.0,0.49,7.0,26.0,0.27,16.0,19.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,66.0,0.48,107.58,45.08,45.79,26.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,24.0,61.0,0.39,,,,
Equip,Jornada 05,1.0,200.0,83.0,22.0,34.0,0.65,9.0,28.0,0.32,12.0,16.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,66.0,0.49,125.76,57.26,54.09,19.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,31.0,62.0,0.5,UE MATARO  - TC,UB SANT ADRIA A,Ganado,27.0
Equip Rival,Jornada 05,1.0,200.0,56.0,15.0,47.0,0.32,5.0,19.0,0.26,11.0,15.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,69.0,0.51,81.16,34.09,35.52,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,20.0,66.0,0.3,,,,
