Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensiuss,Reb. Defensiuss,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltes Rebudes,Val,Possesions,Ritme,OER,% TC Efec,% Jugada,Frec. TL,% Reb Def,% Reb Of,% Assis,% Perd,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tiro,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,% Perd pase,%Perd pil control,%Perd altres,ORB_wt,AssistFT,Assist2P,Assist3P,% AssistFT,%Assist2P,%Assist3P,Punts amb assist,OER amb Asistència,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC
Equip,1 Mitjana,26.0,202.88,75.15,18.96,41.58,0.46,6.96,23.69,0.29,16.35,23.46,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.19,0.0,0.0,72.54,0.51,103.61,45.05,46.14,25.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,25.92,65.27,0.4
Equip,2 Derrota,7.0,200.0,72.57,19.71,43.57,0.45,5.57,22.14,0.25,16.43,23.43,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.43,0.0,0.0,72.86,0.51,99.61,42.72,45.04,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,25.29,65.71,0.38
Equip,2 Victoria,19.0,203.95,76.11,18.68,40.84,0.46,7.47,24.26,0.31,16.32,23.47,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,72.37,0.5,105.16,45.92,46.55,25.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,26.16,65.11,0.4
Equip,3 Local,13.0,201.92,72.62,18.77,40.38,0.46,7.38,24.62,0.3,12.92,18.54,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.23,0.0,0.0,70.15,0.5,103.51,45.92,45.42,19.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,26.15,65.0,0.4
Equip,3 Visitant,13.0,203.85,77.69,19.15,42.77,0.45,6.54,22.77,0.29,19.77,28.38,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.15,0.0,0.0,74.85,0.51,103.8,44.19,46.82,30.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,25.69,65.54,0.39
Equip,4 Dificil,20.0,203.75,73.0,18.5,41.55,0.45,6.4,22.95,0.28,16.8,24.65,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.65,0.0,0.0,72.3,0.5,100.97,43.57,45.4,26.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,24.9,64.5,0.39
Equip,4 Facil,6.0,200.0,82.33,20.5,41.67,0.49,8.83,26.17,0.34,14.83,19.5,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.67,0.0,0.0,73.33,0.51,112.27,49.75,48.51,21.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,29.33,67.83,0.43
Equip,6 Ultims 3,3.0,36000.0,232.0,55.0,127.0,0.43,27.0,84.0,0.32,41.0,59.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,82.0,211.0,0.39
Equip Rival,1 Mitjana Rival,26.0,202.88,68.62,18.15,41.12,0.44,6.31,23.35,0.27,13.38,21.46,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.77,0.0,0.0,70.92,0.49,96.75,42.84,43.58,20.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,24.46,64.46,0.38
Equip Rival,2 Derrota Rival,7.0,200.0,78.29,20.14,38.57,0.52,6.43,21.0,0.31,18.71,28.29,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.14,0.0,0.0,69.0,0.49,113.46,50.0,51.62,31.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,26.57,59.57,0.45
Equip Rival,2 Victoria Rival,19.0,203.95,65.05,17.42,42.05,0.41,6.26,24.21,0.26,11.42,18.95,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,71.58,0.5,90.88,40.47,40.72,17.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,23.68,66.26,0.36
Equip Rival,3 Local Rival,13.0,201.92,63.54,17.77,42.69,0.42,5.62,22.62,0.25,11.15,18.92,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.92,0.0,0.0,70.62,0.5,89.98,40.11,40.72,17.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,23.38,65.31,0.36
Equip Rival,3 Visitant Rival,13.0,203.85,73.69,18.54,39.54,0.47,7.0,24.08,0.29,15.62,24.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.62,0.0,0.0,71.15,0.49,103.57,45.65,46.39,24.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,25.54,63.62,0.4
Equip Rival,4 Dificil Rival,20.0,203.75,71.5,18.85,41.45,0.45,6.55,22.75,0.29,14.15,22.6,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7,0.0,0.0,71.15,0.5,100.49,44.67,45.3,22.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,25.4,64.2,0.4
Equip Rival,4 Facil Rival,6.0,200.0,59.0,15.83,40.0,0.4,5.5,25.33,0.22,10.83,17.67,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.67,0.0,0.0,70.17,0.49,84.09,36.86,37.77,16.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,21.33,65.33,0.33
Equip Rival,6 Ultims 3 Rival,3.0,36000.0,233.0,57.0,125.0,0.46,21.0,63.0,0.33,56.0,80.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,78.0,188.0,0.41
