Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensiuss,Reb. Defensiuss,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltes Rebudes,Val,Possesions,Ritme,OER,% TC Efec,% Jugada,Frec. TL,% Reb Def,% Reb Of,% Assis,% Perd,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tiro,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,% Perd pase,%Perd pil control,%Perd altres,ORB_wt,AssistFT,Assist2P,Assist3P,% AssistFT,%Assist2P,%Assist3P,Punts amb assist,OER amb Asistència,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Local,Visitant,Victoria,Diferencia
Equip,Jornada 01,1.0,200.0,67.0,17.0,39.0,0.44,7.0,23.0,0.3,12.0,16.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,66.0,0.51,101.52,44.35,43.86,19.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,24.0,62.0,0.39,TERRA ENDINS CB VILATORRADA,BASKET ALMEDA,Ganado,7.0
Equip Rival,Jornada 01,1.0,200.0,60.0,18.0,37.0,0.49,4.0,21.0,0.19,12.0,18.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,63.0,0.49,95.24,41.38,43.56,20.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,22.0,58.0,0.38,,,,
Equip,Jornada 02,1.0,200.0,83.0,17.0,37.0,0.46,7.0,17.0,0.41,28.0,40.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,68.0,0.51,122.06,50.93,55.09,51.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,24.0,54.0,0.44,CLUB NATACIO SABADELL A,TERRA ENDINS CB VILATORRADA,Ganado,13.0
Equip Rival,Jornada 02,1.0,200.0,70.0,11.0,27.0,0.41,9.0,30.0,0.3,21.0,29.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,66.0,0.49,106.06,42.98,44.78,36.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,20.0,57.0,0.35,,,,
Equip Rival,Jornada 03,1.0,200.0,61.0,13.0,32.0,0.41,8.0,25.0,0.32,11.0,13.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,60.0,0.47,101.67,43.86,41.92,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,21.0,57.0,0.37,,,,
Equip,Jornada 03,1.0,200.0,81.0,23.0,44.0,0.52,5.0,15.0,0.33,20.0,28.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,68.0,0.53,119.12,51.69,54.54,33.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,28.0,59.0,0.47,C.B.CASTELLBISBAL A,TERRA ENDINS CB VILATORRADA,Ganado,20.0
Equip Rival,Jornada 04,1.0,200.0,67.0,12.0,35.0,0.34,10.0,28.0,0.36,13.0,22.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,69.0,0.48,97.1,42.86,40.85,20.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,22.0,63.0,0.35,,,,
Equip,Jornada 04,1.0,200.0,62.0,12.0,44.0,0.27,7.0,23.0,0.3,17.0,28.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,76.0,0.52,81.58,33.58,36.41,25.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,19.0,67.0,0.28,TERRA ENDINS CB VILATORRADA,REUS PLOMS SALLE,Perdido,-5.0
Equip,Jornada 05,1.0,200.0,72.0,14.0,31.0,0.45,9.0,26.0,0.35,17.0,28.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,66.0,0.5,109.09,48.25,47.61,29.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,23.0,57.0,0.4,CB CERDANYOLA AL DIA A,TERRA ENDINS CB VILATORRADA,Perdido,-9.0
Equip Rival,Jornada 05,1.0,200.0,81.0,27.0,38.0,0.71,4.0,17.0,0.24,15.0,32.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,66.0,0.5,122.73,60.0,59.27,27.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,31.0,55.0,0.56,,,,
Equip Rival,Jornada 06,1.0,200.0,76.0,16.0,38.0,0.42,8.0,24.0,0.33,20.0,26.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,70.0,0.49,108.57,45.16,46.75,32.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,24.0,62.0,0.39,,,,
Equip,Jornada 06,1.0,200.0,66.0,19.0,37.0,0.51,6.0,33.0,0.18,10.0,15.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,73.0,0.51,90.41,40.0,39.91,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,25.0,70.0,0.36,TERRA ENDINS CB VILATORRADA,C.B. RIPOLLET A,Perdido,-10.0
Equip Rival,Jornada 07,1.0,200.0,69.0,19.0,36.0,0.53,6.0,26.0,0.23,13.0,26.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,70.0,0.53,98.57,45.16,45.3,20.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,25.0,62.0,0.4,,,,
Equip,Jornada 07,1.0,200.0,66.0,15.0,28.0,0.54,4.0,21.0,0.19,24.0,34.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,61.0,0.47,108.2,42.86,50.2,48.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,19.0,49.0,0.39,CLUB NATACIO TERRASSA A,TERRA ENDINS CB VILATORRADA,Perdido,-3.0
