Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,Poss,Ritme,OER,% TC Efec,% Jugada,Frec. TL,UsT3
A.E. MINGUELLA A - DRIVIM Equipo,['Mitjana'],10.0,200.0,68.1,19.2,42.0,0.46,5.5,22.2,0.25,13.2,22.5,0.59,23.4,74.1,0.52,91.9,42.76,43.94,20.56,0.35
A.E. MINGUELLA A - DRIVIM Equipo Rival,['Mitjana Rival'],10.0,200.0,61.4,16.8,37.0,0.45,4.9,22.2,0.22,13.1,23.1,0.57,21.4,69.3,0.48,88.6,40.79,42.68,22.13,0.38
BASQUET GIRONA Equipo,['Mitjana'],10.0,202.5,67.8,18.7,37.8,0.49,5.3,23.8,0.22,14.5,24.5,0.59,23.1,72.3,0.48,93.78,43.26,45.05,23.54,0.39
BASQUET GIRONA Equipo Rival,['Mitjana Rival'],10.0,202.5,73.2,20.4,44.1,0.46,5.8,25.0,0.23,15.0,24.4,0.61,22.9,79.8,0.52,91.73,42.11,43.76,21.71,0.36
BASQUET SAFA CLAROR A Equipo,['Mitjana'],9.0,202.78,68.56,17.56,42.0,0.42,6.56,23.78,0.28,13.78,20.56,0.67,22.22,74.78,0.5,91.68,41.64,42.49,20.95,0.36
BASQUET SAFA CLAROR A Equipo Rival,['Mitjana Rival'],9.0,202.78,70.0,17.89,37.67,0.47,7.0,25.44,0.28,13.22,24.22,0.55,22.44,73.67,0.5,95.02,44.98,44.75,20.95,0.4
C.B. VIC - UNIVERSITAT DE VIC 2 Equipo,['Mitjana'],10.0,200.0,72.9,22.4,46.1,0.49,4.8,20.9,0.23,13.7,23.6,0.58,23.9,77.3,0.5,94.31,44.18,45.76,20.45,0.31
C.B. VIC - UNIVERSITAT DE VIC 2 Equipo Rival,['Mitjana Rival'],10.0,200.0,68.4,18.2,41.5,0.44,5.5,23.8,0.23,15.5,24.9,0.62,23.4,76.2,0.5,89.76,40.51,42.84,23.74,0.36
CB ADEPAF TXOT'S Equipo,['Mitjana'],10.0,200.0,64.2,18.0,42.6,0.42,5.4,19.2,0.28,12.0,19.8,0.61,20.6,70.5,0.5,91.06,42.23,43.16,19.42,0.31
CB ADEPAF TXOT'S Equipo Rival,['Mitjana Rival'],10.0,200.0,70.3,17.3,36.2,0.48,7.7,26.1,0.3,12.6,19.9,0.63,21.1,71.0,0.5,99.01,46.31,45.39,20.22,0.42
CB SANTA COLOMA A Equipo,['Mitjana'],9.0,200.0,67.78,17.78,39.78,0.45,6.11,23.78,0.26,13.89,20.33,0.68,25.44,72.44,0.5,93.56,42.4,43.53,21.85,0.37
CB SANTA COLOMA A Equipo Rival,['Mitjana Rival'],9.0,200.0,71.22,17.22,37.67,0.46,6.22,22.67,0.27,18.11,27.56,0.66,20.78,72.44,0.5,98.31,44.01,46.49,30.02,0.38
CB.CIUTAT VELLA Equipo,['Mitjana'],10.0,200.0,68.0,14.6,37.8,0.39,8.0,21.6,0.37,14.8,25.0,0.59,22.0,70.4,0.5,96.59,44.78,44.58,24.92,0.36
CB.CIUTAT VELLA Equipo Rival,['Mitjana Rival'],10.0,200.0,70.1,18.2,36.3,0.5,6.0,23.0,0.26,15.7,24.8,0.63,24.6,70.2,0.5,99.86,45.87,47.36,26.48,0.39
GRUP VIA - CB ARTES Equipo,['Mitjana'],10.0,200.0,71.2,18.2,37.5,0.49,6.8,24.4,0.28,14.4,22.4,0.64,21.0,71.7,0.5,99.3,45.88,46.31,23.26,0.39
GRUP VIA - CB ARTES Equipo Rival,['Mitjana Rival'],10.0,200.0,62.1,19.2,43.4,0.44,4.1,19.6,0.21,11.4,21.6,0.53,21.5,72.5,0.5,85.66,40.24,41.89,18.1,0.31
IBERSOFAS - CB ARGENTONA  A Equipo,['Mitjana'],10.0,200.0,77.2,19.4,37.8,0.51,6.7,24.5,0.27,18.3,28.5,0.64,23.9,74.8,0.51,103.21,47.27,48.9,29.37,0.39
IBERSOFAS - CB ARGENTONA  A Equipo Rival,['Mitjana Rival'],10.0,200.0,71.3,18.1,38.2,0.47,6.6,22.8,0.29,15.3,26.4,0.58,25.1,72.6,0.49,98.21,45.9,46.66,25.08,0.37
